"Timestamp","Calculated Flow with Offset","Compressor #1 Desire Flow SP For PID Murphy","Compressor #2 Desire Flow SP For PID Murphy","Compressor Flow Max Deadband","Derived Run Status","Fault Indication","Flow Status Mode","Hour Meter","Run Status Comp #1","Run Status Comp #2","Total Number Of Compressors","Total Number Of Wellheads","Well #1 Analog Output 1","Well #2 Analog Output 2","Well #3 Analog Output 3","Well #4 Analog Output 4","Wellhead #1 Calculated Desired Flow","Wellhead #1 Choke Flow Priority #","Wellhead #1 Choke Oil Priority #","Wellhead #1 Flow Running Status Percent","Wellhead #1 In Manual/Auto","Wellhead #1 Injection Differential Prs From Customer PLC","Wellhead #1 Injection Flow Rate From Customer PLC","Wellhead #1 Injection Static Pressure From Customer PLC","Wellhead #1 Injection Temp From Customer PLC","Wellhead #1 Max Flow Rate","Wellhead #1 PID Flow Release","WellHead #1 Running Status","Wellhead #1 Setpoint From Customer PLC","Wellhead #1 Yesterdays Total Flow","Wellhead #2 Calculated Desired Flow","Wellhead #2 Choke Flow Priority #","Wellhead #2 Choke Oil Priority #","Wellhead #2 Flow Running Status Percent","Wellhead #2 In Manual/Auto","Wellhead #2 Injection Differential Prs From Customer PLC","Wellhead #2 Injection Flow Rate From Customer PLC","Wellhead #2 Injection Static Pressure From Customer PLC","Wellhead #2 Injection Temp From Customer PLC","Wellhead #2 Max Flow Rate","Wellhead #2 PID Flow Release","Wellhead #2 PID Min Output","WellHead #2 Running Status","Wellhead #2 Setpoint From Customer PLC","Wellhead #2 Yesterdays Total Flow","Wellhead #3 Calculated Desired Flow","Wellhead #3 Choke Flow Priority #","Wellhead #3 Choke Oil Priority #","Wellhead #3 Flow Running Status Percent","Wellhead #3 In Manual/Auto","Wellhead #3 Injection Differential Prs From Customer PLC","Wellhead #3 Injection Flow Rate From Customer PLC","Wellhead #3 Injection Static Pressure From Customer PLC","Wellhead #3 Injection Temp From Customer PLC","Wellhead #3 Max Flow Rate","Wellhead #3 PID Flow Release","WellHead #3 Running Status","Wellhead #3 Setpoint From Customer PLC","Wellhead #3 Yesterdays Total Flow","Wellhead #4 Calculated Desired Flow","Wellhead #4 Choke Flow Priority #","Wellhead #4 Choke Oil Priority #","Wellhead #4 Flow Running Status Percent","Wellhead #4 In Manual/Auto","Wellhead #4 Injection Differential Prs From Customer PLC","Wellhead #4 Injection Flow Rate From Customer PLC","Wellhead #4 Injection Static Pressure From Customer PLC","Wellhead #4 Injection Temp From Customer PLC","Wellhead #4 Max Flow Rate","Wellhead #4 PID Flow Release","Wellhead #4 PID Min Output","Wellhead #4 Setpoint From Customer PLC","Wellhead #4 Yesterdays Total Flow"
"4/12/2026 12:53:33 AM","3070","","","","","Panel Reset/Standby","","5352","Running","Running","","","67","64","71","69","0.805","","","","","44","0.809","805","140","","","Online","1.000","0.817","0.805","","","","","44","0.809","806","140","","","","Online","0.750","0.817","0.805","","","","","42","0.786","806","141","","","Online","0.800","0.817","0.675","","","","","32","0.686","806","141","","","","0.800","0.824"
"4/12/2026 12:38:33 AM","3220","","","","","Panel Reset/Standby","","5352","Running","Running","","","67","65","72","73","0.815","","","","","45","0.813","806","142","","","Online","1.000","0.817","0.820","","","","","45","0.816","806","142","","","","Online","0.750","0.817","0.820","","","","","45","0.815","806","142","","","Online","0.800","0.817","0.840","","","","","45","0.820","806","143","","","","0.800","0.824"
"4/12/2026 12:23:33 AM","3109","","","","","Panel Reset/Standby","","5352","Running","Running","","","67","64","72","70","0.800","","","","","44","0.807","802","141","","","Online","1.000","0.817","0.800","","","","","44","0.808","802","141","","","","Online","0.750","0.817","0.800","","","","","46","0.819","800","142","","","Online","0.800","0.817","0.710","","","","","32","0.686","800","142","","","","0.800","0.824"
"4/12/2026 12:08:33 AM","3159","","","","","Panel Reset/Standby","","5352","Running","Running","","","67","64","72","71","0.800","","","","","45","0.812","801","142","","","Online","1.000","0.817","0.800","","","","","45","0.810","801","142","","","","Online","0.750","0.817","0.800","","","","","43","0.801","801","142","","","Online","0.800","0.817","0.760","","","","","35","0.718","802","143","","","","0.800","0.855"
"4/11/2026 11:53:33 PM","3250","","","","","Panel Reset/Standby","","5351","Running","Running","","","66","64","71","73","0.815","","","","","45","0.819","820","143","","","Online","1.000","0.820","0.815","","","","","44","0.815","819","142","","","","Online","0.750","0.820","0.815","","","","","46","0.833","819","143","","","Online","0.800","0.820","0.865","","","","","45","0.825","820","145","","","","0.800","0.855"
"4/11/2026 11:38:33 PM","3200","","","","","Panel Reset/Standby","","5351","Running","Running","","","67","65","72","73","0.820","","","","","44","0.815","815","143","","","Online","1.000","0.820","0.820","","","","","46","0.826","816","143","","","","Online","0.750","0.820","0.820","","","","","43","0.801","815","143","","","Online","0.800","0.820","0.820","","","","","44","0.812","815","144","","","","0.800","0.855"
"4/11/2026 11:23:33 PM","3210","","","","","Panel Reset/Standby","","5351","Running","Running","","","67","65","72","73","0.820","","","","","45","0.813","806","141","","","Online","1.000","0.820","0.820","","","","","45","0.814","806","141","","","","Online","0.750","0.820","0.820","","","","","45","0.814","806","141","","","Online","0.800","0.820","0.820","","","","","44","0.808","806","142","","","","0.800","0.855"
"4/11/2026 11:08:33 PM","3130","","","","","Panel Reset/Standby","","5351","Running","Running","","","67","64","72","71","0.810","","","","","44","0.814","810","142","","","Online","1.000","0.820","0.810","","","","","44","0.811","810","141","","","","Online","0.750","0.820","0.810","","","","","45","0.819","810","142","","","Online","0.800","0.820","0.740","","","","","36","0.734","810","142","","","","0.800","0.855"
"4/11/2026 10:53:33 PM","3200","","","","","Panel Reset/Standby","","5350","Running","Running","","","67","65","72","73","0.830","","","","","45","0.812","805","142","","","Online","1.000","0.820","0.830","","","","","45","0.818","804","141","","","","Online","0.750","0.820","0.830","","","","","45","0.812","804","142","","","Online","0.800","0.820","0.830","","","","","46","0.824","804","143","","","","0.800","0.855"
"4/11/2026 10:38:33 PM","3210","","","","","Panel Reset/Standby","","5350","Running","Running","","","66","64","71","73","0.820","","","","","44","0.815","821","142","","","Online","1.000","0.820","0.820","","","","","44","0.815","821","141","","","","Online","0.750","0.820","0.820","","","","","45","0.824","821","142","","","Online","0.800","0.820","0.830","","","","","47","0.840","821","144","","","","0.800","0.855"
